ATLANTA,0,Gewiss Stadium,G. Gasperini,26/01/58,Antonio Percassi
BOLOGNA,0,Stadio Renato Dall'Ara,T. Motta,28/08/82,Oreste Vigorito
CREMONA,0,Giovanni Zini,D. Ballardini,06/01/64,Joey Saputo
EMPOLI,0,Stadio Carlo Castellani,P. Zanetti,16/12/82,Tommaso Giulini
FIORENTINA,0,Stadio Artemio Franchi,V. Italiano,10/12/77,Rocco Commisso
INTER,0,Stadio Giuseppe Meazza,S. Inzaghi,05/04/76,Steven Zhang
JUVENTUS,0,Allianz Stadium,M. Allegri,11/08/67,Andrea Agnelli
LAZIO,0,Stadio Olimpico,M. Sarri,10/01/59,Claudio Lotito
LECCE,0,Stadio Marcantonio Bentegodi,M. Baroni,11/09/63,Sticchi Damiani
MILAN,0,Stadio Giuseppe Meazza,S. Pioli,20/10/65,Paolo Scaroni
MONZA,0,U-Power Stadium - BrianteoMonza,R. Palladino,17/04/84,Paolo Berlusconi
NAPOLI,0,Stadio Diego Armando Maradona,L. Spalletti,07/03/59,Aurelio De Laurentiis
ROMA,0,Stadio Olimpico,J. Mourinho,26/01/63,Dan Friedkin
SALERNITANA,0,Stadio Arechi,P. Sousa,30/08/70,Danilo Iervolino
SAMPDORIA,0,Stadio Luigi Ferraris,D. Stankovic,11/09/78,Massimo Ferrero
SASSUOLO,0,Mapei Stadium,A. Dionisi,01/04/80,Carlo Rossi
SPEZIA,0,Stadio Alberto Picco,L. Semplici,18/07/67,Stefano Chisoli
TORINO,0,Stadio Olimpico Grande Torino,I. Juric,25/08/75,Urbano Cairo
UDINESE,0,Stadio Friuli,A. Sottil,04/01/74,Franco Soldati
VERONA,0,Stadio Marcantonio Bentegodi,M. Zaffaroni,20/01/69,Maurizio Setti